name,name_en,amenity,building,healthcare,healthca_1,operator_t,capacity_p,addr_full,addr_city,source,name_ro,osm_id,osm_type,longitude,latitude
Farmacia Micsandra,,pharmacy,,pharmacy,,,,,Vatra Dornei,,,480760374,nodes,25.3598402,47.3430531
Farmacie,,pharmacy,,pharmacy,,,,,,,,480760371,nodes,25.3547031,47.3472453
Farmacia Antochi,,pharmacy,,pharmacy,,,,,Neagra Sarului,,,5006955964,nodes,25.3307283,47.2411476
Cabinet Medical Veterinar,,hospital,,,,,,,Ciocanesti,,,3730972548,nodes,25.2738242,47.4836137
Synevo,,,,laboratory,,,,,Vaslui,,,10589792169,nodes,27.7342429,46.6400157
,,doctors,,,,,,,,,,10219283452,nodes,20.6212574,45.8909379
Florisan,,doctors,,doctor,physiotherapist,,,,,,,8327358147,nodes,23.6264781,46.777141
Cabinete Medicina Dentara,,dentist,,dentist,,,,,,,,11121306710,nodes,23.880857,47.9266769
Soranda,,pharmacy,,,,,,,,,,6718247655,nodes,23.878274,47.9269486
Farmacie,,pharmacy,,,,,,,,,,2304981660,nodes,24.6082429,46.6517197
Dispensar Breaza,,doctors,,,,,,,,,,2311701804,nodes,24.6362641,46.7605212
Cabinet Medical,,hospital,,,general,,,,Ciocanesti,,,3730971225,nodes,25.2783977,47.4797191
Farmacie,,pharmacy,,,,,,,Ciocanesti,,,4618842186,nodes,25.2791058,47.4774148
Farmacie,,pharmacy,,,,,,,,,,513715683,nodes,24.8884305,47.4396315
Dr. Ilie-Dan Sabin,,dentist,,dentist,implantology;stomatology,,,,,,,8257854052,nodes,23.6071981,46.7614073
Cabinet stomatologic StarDent,,dentist,,dentist,,,,,,,,2810933033,nodes,23.6035548,46.7807038
Complex Stomatologic B.D.,,doctors,,doctor,,,,,Cluj-Napoca,survey,,2942199302,nodes,23.6053184,46.7746246
Laborator Stomatologic Dorin Ioan Pintea,,dentist,,dentist,dentist,,,,Cluj-Napoca,,,3623128846,nodes,23.608827,46.7761331
Remedium,,pharmacy,,pharmacy,,,,,Cluj-Napoca,,,3691914726,nodes,23.5984504,46.7757457
Carit San Medical,,,,laboratory,general,,,,Targu Mures,,,9500565501,nodes,24.5587611,46.5460231
Eco Farmacia,,pharmacy,,pharmacy,,,,,Targu Mures,,,9484271492,nodes,24.5648353,46.5512607
Primula,,pharmacy,,pharmacy,,,,,Sangeorgiu de Mures,,,6705157888,nodes,24.5978216,46.5720897
Dispensar Santana de Mures,,doctors,,,,,,,,,,4314741760,nodes,24.554953,46.5762586
Farmatop,,pharmacy,,pharmacy,,,,,Targu Mures,,,9484271488,nodes,24.5495332,46.533452
Ropharma,,pharmacy,,pharmacy,,,,,Targu Mures,,,9484271489,nodes,24.5506532,46.5335749
